promo_id,name,mechanic,discount_depth_pct,funding_type,start_date,end_date
PROMO_5035,Display 33% 2025-07-28,Display,0.33,Vendor,2025-07-28,2025-07-28
PROMO_5036,Feature 31% 2023-06-19,Feature,0.31,Retailer,2023-06-19,2023-06-19
PROMO_5037,TPR 15% 2026-07-20,TPR,0.15,Retailer,2026-07-20,2026-07-20
PROMO_5038,Coupon 38% 2026-02-09,Coupon,0.38,Vendor,2026-02-09,2026-02-16
PROMO_5039,Coupon 16% 2023-07-31,Coupon,0.16,Retailer,2023-07-31,2023-08-14
PROMO_5040,Coupon 11% 2026-04-27,Coupon,0.11,Retailer,2026-04-27,2026-05-11
PROMO_5041,Coupon 29% 2024-12-30,Coupon,0.29,Retailer,2024-12-30,2024-12-30
PROMO_5042,Feature 24% 2026-04-20,Feature,0.24,Vendor,2026-04-20,2026-05-04
PROMO_5043,Coupon 20% 2024-08-26,Coupon,0.2,Retailer,2024-08-26,2024-08-26
PROMO_5044,Feature 11% 2025-05-05,Feature,0.11,Vendor,2025-05-05,2025-05-05
PROMO_5045,TPR 12% 2025-03-10,TPR,0.12,Vendor,2025-03-10,2025-03-10
PROMO_5046,TPR 16% 2025-10-06,TPR,0.16,Retailer,2025-10-06,2025-10-06
PROMO_5047,TPR 37% 2023-06-26,TPR,0.37,Vendor,2023-06-26,2023-06-26
PROMO_5048,Feature 34% 2024-11-18,Feature,0.34,Retailer,2024-11-18,2024-11-25
PROMO_5049,Display 17% 2025-02-17,Display,0.17,Retailer,2025-02-17,2025-02-24
PROMO_5050,TPR 34% 2026-09-07,TPR,0.34,Vendor,2026-09-07,2026-09-07
PROMO_5051,Coupon 29% 2026-06-08,Coupon,0.29,Vendor,2026-06-08,2026-06-22
PROMO_5052,Display 29% 2025-05-19,Display,0.29,Vendor,2025-05-19,2025-06-02
PROMO_5053,Feature 37% 2024-03-04,Feature,0.37,Retailer,2024-03-04,2024-03-11
PROMO_5054,Display 33% 2025-06-23,Display,0.33,Retailer,2025-06-23,2025-06-23
PROMO_5055,Feature 36% 2026-03-02,Feature,0.36,Vendor,2026-03-02,2026-03-09
PROMO_5056,Display 39% 2023-08-07,Display,0.39,Vendor,2023-08-07,2023-08-21
PROMO_5057,Coupon 37% 2026-08-10,Coupon,0.37,Vendor,2026-08-10,2026-08-17
PROMO_5058,Display 23% 2024-04-29,Display,0.23,Retailer,2024-04-29,2024-05-06
PROMO_5059,Feature 36% 2026-03-23,Feature,0.36,Vendor,2026-03-23,2026-04-06
PROMO_5060,Display 14% 2024-04-01,Display,0.14,Vendor,2024-04-01,2024-04-08
PROMO_5061,Display 36% 2026-05-11,Display,0.36,Retailer,2026-05-11,2026-05-11
PROMO_5062,Display 11% 2025-01-13,Display,0.11,Retailer,2025-01-13,2025-01-13
PROMO_5063,Coupon 32% 2024-09-09,Coupon,0.32,Retailer,2024-09-09,2024-09-16
PROMO_5064,TPR 16% 2024-11-11,TPR,0.16,Vendor,2024-11-11,2024-11-18
PROMO_5065,Feature 32% 2024-05-13,Feature,0.32,Retailer,2024-05-13,2024-05-13
PROMO_5066,TPR 26% 2026-05-25,TPR,0.26,Vendor,2026-05-25,2026-06-08
PROMO_5067,Feature 16% 2024-10-28,Feature,0.16,Retailer,2024-10-28,2024-10-28
PROMO_5068,TPR 23% 2025-09-15,TPR,0.23,Vendor,2025-09-15,2025-09-22
PROMO_5069,Coupon 17% 2024-07-22,Coupon,0.17,Vendor,2024-07-22,2024-08-05
PROMO_5070,Display 31% 2026-05-04,Display,0.31,Retailer,2026-05-04,2026-05-18
PROMO_5071,Feature 39% 2025-06-30,Feature,0.39,Retailer,2025-06-30,2025-07-14
PROMO_5072,TPR 40% 2026-08-24,TPR,0.4,Vendor,2026-08-24,2026-08-31
PROMO_5073,Coupon 32% 2026-08-10,Coupon,0.32,Retailer,2026-08-10,2026-08-17
PROMO_5074,Feature 28% 2024-05-27,Feature,0.28,Retailer,2024-05-27,2024-06-03
PROMO_5075,Coupon 12% 2024-11-18,Coupon,0.12,Vendor,2024-11-18,2024-11-18
PROMO_5076,Coupon 20% 2026-09-28,Coupon,0.2,Vendor,2026-09-28,2026-09-28
PROMO_5077,TPR 37% 2023-07-03,TPR,0.37,Vendor,2023-07-03,2023-07-03
PROMO_5078,TPR 11% 2024-01-01,TPR,0.11,Retailer,2024-01-01,2024-01-08
PROMO_5079,TPR 29% 2024-12-02,TPR,0.29,Vendor,2024-12-02,2024-12-16
PROMO_5080,Feature 40% 2025-06-16,Feature,0.4,Vendor,2025-06-16,2025-06-16
PROMO_5081,Display 23% 2024-08-26,Display,0.23,Retailer,2024-08-26,2024-09-02
PROMO_5082,TPR 37% 2024-11-11,TPR,0.37,Retailer,2024-11-11,2024-11-25
PROMO_5083,Coupon 13% 2024-08-26,Coupon,0.13,Vendor,2024-08-26,2024-09-09
PROMO_5084,Feature 33% 2023-08-28,Feature,0.33,Vendor,2023-08-28,2023-09-04
PROMO_5085,Display 15% 2024-09-09,Display,0.15,Vendor,2024-09-09,2024-09-23
PROMO_5086,TPR 39% 2025-07-28,TPR,0.39,Vendor,2025-07-28,2025-07-28
PROMO_5087,TPR 39% 2025-04-28,TPR,0.39,Vendor,2025-04-28,2025-05-12
PROMO_5088,Coupon 11% 2026-03-23,Coupon,0.11,Retailer,2026-03-23,2026-03-23
PROMO_5089,Display 36% 2023-10-16,Display,0.36,Vendor,2023-10-16,2023-10-23
PROMO_5090,Coupon 12% 2026-10-05,Coupon,0.12,Vendor,2026-10-05,2026-10-19
PROMO_5091,TPR 11% 2025-02-03,TPR,0.11,Vendor,2025-02-03,2025-02-17
PROMO_5092,Display 16% 2024-08-05,Display,0.16,Retailer,2024-08-05,2024-08-05
PROMO_5093,Coupon 21% 2024-11-25,Coupon,0.21,Vendor,2024-11-25,2024-11-25
PROMO_5094,Coupon 36% 2024-12-30,Coupon,0.36,Vendor,2024-12-30,2024-12-30
PROMO_5095,Feature 13% 2025-09-01,Feature,0.13,Vendor,2025-09-01,2025-09-01
PROMO_5096,Coupon 29% 2025-12-01,Coupon,0.29,Vendor,2025-12-01,2025-12-15
PROMO_5097,Feature 31% 2025-11-10,Feature,0.31,Retailer,2025-11-10,2025-11-10
PROMO_5098,Display 21% 2026-08-10,Display,0.21,Vendor,2026-08-10,2026-08-17
PROMO_5099,Feature 23% 2024-01-15,Feature,0.23,Vendor,2024-01-15,2024-01-22
PROMO_5100,Feature 37% 2023-10-02,Feature,0.37,Retailer,2023-10-02,2023-10-16
PROMO_5101,TPR 17% 2025-09-08,TPR,0.17,Retailer,2025-09-08,2025-09-22
PROMO_5102,Feature 32% 2023-12-04,Feature,0.32,Vendor,2023-12-04,2023-12-04
PROMO_5103,Feature 34% 2023-10-23,Feature,0.34,Vendor,2023-10-23,2023-10-23
PROMO_5104,Display 32% 2026-06-01,Display,0.32,Vendor,2026-06-01,2026-06-15
PROMO_5105,Display 13% 2026-11-09,Display,0.13,Vendor,2026-11-09,2026-11-09
PROMO_5106,TPR 35% 2026-10-12,TPR,0.35,Vendor,2026-10-12,2026-10-26
PROMO_5107,TPR 19% 2026-06-08,TPR,0.19,Retailer,2026-06-08,2026-06-08
PROMO_5108,Display 13% 2025-09-01,Display,0.13,Retailer,2025-09-01,2025-09-15
PROMO_5109,TPR 23% 2026-03-23,TPR,0.23,Vendor,2026-03-23,2026-03-30
PROMO_5110,Feature 15% 2025-01-27,Feature,0.15,Vendor,2025-01-27,2025-01-27
PROMO_5111,Display 34% 2024-04-01,Display,0.34,Vendor,2024-04-01,2024-04-01
PROMO_5112,Feature 20% 2023-10-23,Feature,0.2,Retailer,2023-10-23,2023-10-23
PROMO_5113,Coupon 20% 2023-07-24,Coupon,0.2,Vendor,2023-07-24,2023-07-24
PROMO_5114,Feature 33% 2023-07-03,Feature,0.33,Vendor,2023-07-03,2023-07-10
PROMO_5115,Feature 33% 2025-03-10,Feature,0.33,Retailer,2025-03-10,2025-03-24
PROMO_5116,Display 17% 2023-08-28,Display,0.17,Retailer,2023-08-28,2023-09-11
PROMO_5117,TPR 18% 2025-03-31,TPR,0.18,Retailer,2025-03-31,2025-04-14
PROMO_5118,Feature 12% 2024-12-30,Feature,0.12,Vendor,2024-12-30,2024-12-30
PROMO_5119,TPR 37% 2025-02-17,TPR,0.37,Vendor,2025-02-17,2025-03-03
PROMO_5120,Coupon 12% 2024-06-24,Coupon,0.12,Retailer,2024-06-24,2024-06-24
PROMO_5121,Coupon 22% 2023-08-28,Coupon,0.22,Vendor,2023-08-28,2023-08-28
PROMO_5122,Feature 37% 2025-04-14,Feature,0.37,Retailer,2025-04-14,2025-04-14
PROMO_5123,TPR 29% 2025-03-31,TPR,0.29,Retailer,2025-03-31,2025-03-31
PROMO_5124,Coupon 36% 2026-03-09,Coupon,0.36,Vendor,2026-03-09,2026-03-16
PROMO_5125,TPR 13% 2023-10-23,TPR,0.13,Vendor,2023-10-23,2023-10-30
PROMO_5126,TPR 27% 2025-04-07,TPR,0.27,Retailer,2025-04-07,2025-04-07
PROMO_5127,TPR 13% 2023-09-25,TPR,0.13,Vendor,2023-09-25,2023-10-09
PROMO_5128,Display 22% 2026-08-03,Display,0.22,Vendor,2026-08-03,2026-08-10
PROMO_5129,Display 32% 2025-01-20,Display,0.32,Retailer,2025-01-20,2025-02-03
PROMO_5130,Coupon 15% 2026-08-03,Coupon,0.15,Retailer,2026-08-03,2026-08-10
PROMO_5131,Feature 11% 2024-11-11,Feature,0.11,Retailer,2024-11-11,2024-11-11
PROMO_5132,Coupon 24% 2023-11-06,Coupon,0.24,Vendor,2023-11-06,2023-11-06
PROMO_5133,Feature 24% 2025-12-15,Feature,0.24,Retailer,2025-12-15,2025-12-29
PROMO_5134,Feature 26% 2023-07-03,Feature,0.26,Retailer,2023-07-03,2023-07-17
PROMO_5135,Display 19% 2026-06-08,Display,0.19,Retailer,2026-06-08,2026-06-15
PROMO_5136,TPR 14% 2024-10-28,TPR,0.14,Vendor,2024-10-28,2024-10-28
PROMO_5137,Coupon 13% 2024-05-06,Coupon,0.13,Retailer,2024-05-06,2024-05-13
PROMO_5138,Feature 26% 2023-07-31,Feature,0.26,Retailer,2023-07-31,2023-08-14
PROMO_5139,Display 11% 2024-07-15,Display,0.11,Retailer,2024-07-15,2024-07-15
PROMO_5140,TPR 19% 2026-07-13,TPR,0.19,Retailer,2026-07-13,2026-07-27
PROMO_5141,TPR 17% 2026-02-23,TPR,0.17,Retailer,2026-02-23,2026-03-09
PROMO_5142,Coupon 38% 2026-03-16,Coupon,0.38,Vendor,2026-03-16,2026-03-23
PROMO_5143,Display 23% 2025-11-24,Display,0.23,Retailer,2025-11-24,2025-12-01
PROMO_5144,TPR 32% 2023-07-10,TPR,0.32,Vendor,2023-07-10,2023-07-24
PROMO_5145,Display 23% 2026-06-01,Display,0.23,Vendor,2026-06-01,2026-06-01
PROMO_5146,Coupon 27% 2025-12-29,Coupon,0.27,Retailer,2025-12-29,2026-01-12
PROMO_5147,TPR 28% 2026-04-20,TPR,0.28,Retailer,2026-04-20,2026-04-27
PROMO_5148,TPR 34% 2026-11-23,TPR,0.34,Retailer,2026-11-23,2026-11-23
PROMO_5149,TPR 39% 2026-08-24,TPR,0.39,Vendor,2026-08-24,2026-08-24
PROMO_5150,Display 24% 2026-09-07,Display,0.24,Vendor,2026-09-07,2026-09-14
PROMO_5151,Feature 40% 2026-08-10,Feature,0.4,Retailer,2026-08-10,2026-08-10
PROMO_5152,Display 25% 2026-06-22,Display,0.25,Vendor,2026-06-22,2026-06-29
PROMO_5153,TPR 31% 2026-08-10,TPR,0.31,Retailer,2026-08-10,2026-08-24
PROMO_5154,Coupon 33% 2026-06-01,Coupon,0.33,Vendor,2026-06-01,2026-06-15
PROMO_5155,Feature 26% 2024-04-08,Feature,0.26,Retailer,2024-04-08,2024-04-22
PROMO_5156,Feature 36% 2024-07-08,Feature,0.36,Retailer,2024-07-08,2024-07-22
PROMO_5157,Display 18% 2025-12-15,Display,0.18,Retailer,2025-12-15,2025-12-29
PROMO_5158,Feature 37% 2025-02-03,Feature,0.37,Vendor,2025-02-03,2025-02-03
PROMO_5159,Feature 38% 2023-06-05,Feature,0.38,Vendor,2023-06-05,2023-06-19
PROMO_5160,TPR 16% 2025-02-17,TPR,0.16,Vendor,2025-02-17,2025-02-24
PROMO_5161,Coupon 31% 2025-07-07,Coupon,0.31,Retailer,2025-07-07,2025-07-21
PROMO_5162,Coupon 18% 2023-07-31,Coupon,0.18,Retailer,2023-07-31,2023-07-31
PROMO_5163,Coupon 22% 2025-07-14,Coupon,0.22,Retailer,2025-07-14,2025-07-28
PROMO_5164,Display 19% 2025-05-19,Display,0.19,Retailer,2025-05-19,2025-06-02
PROMO_5165,TPR 36% 2024-07-01,TPR,0.36,Vendor,2024-07-01,2024-07-08
PROMO_5166,TPR 38% 2024-10-21,TPR,0.38,Retailer,2024-10-21,2024-10-21
PROMO_5167,Coupon 23% 2026-09-14,Coupon,0.23,Vendor,2026-09-14,2026-09-28
PROMO_5168,Display 25% 2025-11-10,Display,0.25,Retailer,2025-11-10,2025-11-24
PROMO_5169,Display 20% 2024-02-05,Display,0.2,Vendor,2024-02-05,2024-02-05
PROMO_5170,Coupon 32% 2024-07-22,Coupon,0.32,Retailer,2024-07-22,2024-07-29
PROMO_5171,Display 10% 2024-01-08,Display,0.1,Vendor,2024-01-08,2024-01-08
PROMO_5172,Display 35% 2024-03-04,Display,0.35,Retailer,2024-03-04,2024-03-11
PROMO_5173,Display 20% 2026-02-02,Display,0.2,Retailer,2026-02-02,2026-02-16
PROMO_5174,Display 17% 2025-03-31,Display,0.17,Vendor,2025-03-31,2025-03-31
PROMO_5175,Display 25% 2026-11-16,Display,0.25,Retailer,2026-11-16,2026-11-23
PROMO_5176,TPR 26% 2025-04-21,TPR,0.26,Vendor,2025-04-21,2025-05-05
PROMO_5177,TPR 36% 2025-12-22,TPR,0.36,Vendor,2025-12-22,2025-12-29
PROMO_5178,TPR 25% 2025-10-06,TPR,0.25,Retailer,2025-10-06,2025-10-20
PROMO_5179,TPR 13% 2025-02-24,TPR,0.13,Vendor,2025-02-24,2025-02-24
PROMO_5180,Feature 33% 2024-12-09,Feature,0.33,Retailer,2024-12-09,2024-12-09
PROMO_5181,Feature 26% 2024-08-19,Feature,0.26,Retailer,2024-08-19,2024-09-02
PROMO_5182,Coupon 39% 2026-04-20,Coupon,0.39,Vendor,2026-04-20,2026-04-27
PROMO_5183,TPR 24% 2023-09-25,TPR,0.24,Retailer,2023-09-25,2023-09-25
PROMO_5184,Display 34% 2023-08-21,Display,0.34,Vendor,2023-08-21,2023-09-04
PROMO_5185,Display 21% 2024-03-25,Display,0.21,Vendor,2024-03-25,2024-04-01
PROMO_5186,Display 15% 2025-10-27,Display,0.15,Vendor,2025-10-27,2025-11-03
PROMO_5187,Feature 24% 2024-12-30,Feature,0.24,Retailer,2024-12-30,2025-01-13
PROMO_5188,Display 30% 2025-09-08,Display,0.3,Vendor,2025-09-08,2025-09-22
PROMO_5189,Feature 12% 2024-01-08,Feature,0.12,Vendor,2024-01-08,2024-01-15
PROMO_5190,TPR 22% 2024-03-25,TPR,0.22,Retailer,2024-03-25,2024-04-01
PROMO_5191,Coupon 12% 2025-01-13,Coupon,0.12,Vendor,2025-01-13,2025-01-13
